texto_incidencia,componente,asignacion_departamento,bloqueante,interrumpe_tat,horas_desde_revision
Luz de aviso activada en cabina referente a la unidad de potencia auxiliar (APU) control card observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Mantenimiento,NO,NO,257.2
Documentación del proveedor incompleta para las baterías de emergencia de litio que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Calidad,SI,SI,890.2
Espesor de recubrimiento fuera de rango en el computador del sistema de control de vuelo detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Calidad,SI,NO,808.3
Documentación del proveedor incompleta para las compuertas de la bodega de carga detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Calidad,SI,NO,393.6
Ruido anómalo durante la prueba funcional de el mamparo de presión posterior reportado por el operario del turno de noche en el hangar 3.,Estructura,Mantenimiento,NO,SI,1034.6
No coinciden los números de serie en las pastillas de freno del tren de morro identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Calidad,SI,SI,63.4
Anomalía en el comportamiento aerodinámico de el muelle de extensión del amortiguador identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,SI,SI,677.9
Fisura metalúrgica localizada en las compuertas de la bodega de carga tras la notificación formal del operador de la aerolínea.,Estructura,Ingenieria,NO,SI,1055.3
Necesidad de rediseño en el soporte de el borde de ataque del ala izquierda debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Ingenieria,SI,SI,132.1
Fuga de fluido hidráulico localizada en las sondas Pitot de respaldo detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Mantenimiento,NO,NO,
Sustitución rutinaria por horas de vuelo de las llantas del tren principal que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Mantenimiento,SI,NO,1166.6
Discrepancy en planos de diseño de la turbina de alta presión debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,NO,SI,
Anomalía en el comportamiento aerodinámico de el estabilizador horizontal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Ingenieria,SI,SI,
Holgura fuera de tolerancia en las pastillas de freno del tren de morro detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Ingenieria,NO,SI,834.6
Corrosión galvánica severa en interfaz de el álabe del compresor CFM56 que requiere parada inmediata según el manual general de mantenimiento.,Motor,Ingenieria,NO,SI,1129.8
Fuga de fluido hidráulico localizada en el mazo de cables del sistema de navegación que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Mantenimiento,NO,NO,
Fallo catastrófico del material en los sensores de proximidad de bloqueo identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,NO,SI,577.1
Estudio de resistencia requerido para las tijeras de amortiguación identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,SI,SI,580.8
Falta certificado de conformidad en lote de el eje de transmisión principal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,NO,SI,
Fallo catastrófico del material en la caja de accesorios (AGB) detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Ingenieria,SI,NO,361.4
Fisura metalúrgica localizada en las mangueras del líquido de frenos durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Ingenieria,SI,,883.8
Falta certificado de conformidad en lote de el muelle de extensión del amortiguador debido presumiblemente a condiciones ambientales extremas en operación.,Tren_Aterrizaje,Calidad,SI,SI,433.9
Deformación por carga térmica en el borde de ataque del ala izquierda reportado por el operario del turno de noche en el hangar 3.,Estructura,Ingenieria,SI,SI,778.4
Sustitución rutinaria por horas de vuelo de la caja de accesorios (AGB) identificado en la fase de control de calidad final antes de entrega.,Motor,Mantenimiento,NO,NO,969.1
Espesor de recubrimiento fuera de rango en el cárter del ventilador detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,SI,NO,91.7
Cableado deshilachado debido a rozamiento en los sensores de proximidad de bloqueo detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Mantenimiento,NO,NO,729.0
Corrosión galvánica severa en interfaz de la unidad de potencia auxiliar (APU) control card identificado en la recepción de materiales de la cadena de suministro.,Electronica,Ingenieria,SI,SI,390.8
No coinciden los números de serie en la cámara de combustión reportado por el operario del turno de noche en el hangar 3.,Motor,Calidad,NO,SI,1050.5
Cambio de filtros y purga manual de el cárter del ventilador observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Mantenimiento,SI,NO,865.9
Desviación estructural observada en el eje de transmisión principal observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Ingenieria,SI,SI,868.8
Cambio de filtros y purga manual de la cámara de combustión que requiere parada inmediata según el manual general de mantenimiento.,Motor,Mantenimiento,NO,SI,173.3
Tornillería suministrada sin trazabilidad para las llantas del tren principal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Tren_Aterrizaje,Calidad,,SI,331.0
Fuga de fluido hidráulico localizada en la turbina de alta presión reportado por el operario del turno de noche en el hangar 3.,Motor,Mantenimiento,NO,NO,709.9
Fuga de fluido hidráulico localizada en las antenas de comunicación VHF observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Mantenimiento,SI,NO,160.5
Desgaste severo por uso operativo en la cuaderna de sección de cola debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Mantenimiento,NO,NO,540.7
Desgaste severo por uso operativo en la cuaderna de sección de cola debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Mantenimiento,NO,SI,833.5
No coinciden los números de serie en la cámara de combustión que requiere parada inmediata según el manual general de mantenimiento.,Motor,Calidad,SI,SI,433.0
Fallo catastrófico del material en el borde de ataque del ala izquierda debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Ingenieria,SI,SI,482.3
Ajuste de tensión requerido en las líneas de el cableado del radar meteorológico tras la notificación formal del operador de la aerolínea.,Electronica,Mantenimiento,SI,NO,979.1
Auditoría interna detecta desviación en el proceso de la caja de accesorios (AGB) detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Calidad,SI,SI,
Luz de aviso activada en cabina referente a las antenas de comunicación VHF reportado por el operario del turno de noche en el hangar 3.,,Mantenimiento,NO,NO,369.4
Incumplimiento de la norma aeronáutica en el álabe del compresor CFM56 identificado en la recepción de materiales de la cadena de suministro.,Motor,Calidad,SI,SI,755.1
Sustitución rutinaria por horas de vuelo de los soportes del pilón del motor tras la notificación formal del operador de la aerolínea.,Estructura,Mantenimiento,NO,NO,1102.6
Fuga de fluido hidráulico localizada en las sondas Pitot de respaldo detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Mantenimiento,NO,NO,990.9
Lote de consumibles caducado utilizado en el eje de transmisión principal observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Calidad,SI,NO,670.0
Deformación por carga térmica en la unidad de potencia auxiliar (APU) control card identificado en la fase de control de calidad final antes de entrega.,Electronica,Ingenieria,SI,SI,104.0
Discrepancy en planos de diseño de el mazo de cables del sistema de navegación identificado en la recepción de materiales de la cadena de suministro.,Electronica,Ingenieria,SI,SI,969.6
Falta certificado de conformidad en lote de los inyectores de combustible debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Calidad,SI,SI,953.9
Acumulación de suciedad y residuos en el cárter del ventilador identificado en la recepción de materiales de la cadena de suministro.,Motor,Mantenimiento,SI,NO,52.1
Cambio de filtros y purga manual de las antenas de comunicación VHF durante la inspección visual tras la llegada del vuelo.,Electronica,Mantenimiento,NO,NO,843.9
Auditoría interna detecta desviación en el proceso de la cuaderna de sección de cola detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Calidad,SI,,478.4
Cableado deshilachado debido a rozamiento en el eje de transmisión principal debido presumiblemente a condiciones ambientales extremas en operación.,,Mantenimiento,NO,NO,
Holgura fuera de tolerancia en el eje de transmisión principal detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Ingenieria,SI,,
Fuga de fluido hidráulico localizada en el borde de ataque del ala izquierda que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,NO,NO,
Fuga de fluido hidráulico localizada en el borde de ataque del ala izquierda detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Mantenimiento,SI,NO,
Documentación del proveedor incompleta para las tijeras de amortiguación tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Calidad,SI,SI,1041.4
Espesor de recubrimiento fuera de rango en el mazo de cables del sistema de navegación identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,SI,152.4
Luz de aviso activada en cabina referente a los soportes del pilón del motor que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,NO,NO,
Ruido anómalo durante la prueba funcional de las pastillas de freno del tren de morro identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Mantenimiento,SI,NO,594.2
Error de trazabilidad detectada en las mangueras del líquido de frenos identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Calidad,NO,SI,
Pérdida de presión neumática en las sondas Pitot de respaldo que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Mantenimiento,SI,NO,
Fisura metalúrgica localizada en las pastillas de freno del tren de morro que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Ingenieria,SI,SI,298.0
Firma omitida en la orden de liberación de la turbina de alta presión identificado en la fase de control de calidad final antes de entrega.,Motor,Calidad,SI,NO,544.6
Pérdida de presión neumática en el computador del sistema de control de vuelo observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Mantenimiento,SI,NO,475.6
Desgaste severo por uso operativo en las pastillas de freno del tren de morro debido presumiblemente a condiciones ambientales extremas en operación.,Tren_Aterrizaje,Mantenimiento,SI,NO,590.7
Fisura metalúrgica localizada en el larguero principal del fuselaje que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Ingenieria,SI,NO,
Tornillería suministrada sin trazabilidad para la cuaderna de sección de cola identificado en la recepción de materiales de la cadena de suministro.,Estructura,Calidad,NO,SI,1097.6
Sustitución preventiva de juntas y sellos de el mamparo de presión posterior observado tras la limpieza por ultrasonidos en la línea de reparación.,Estructura,Mantenimiento,NO,NO,1148.3
Desviación estructural observada en el borde de ataque del ala izquierda debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Ingenieria,SI,NO,67.3
Deformación por carga térmica en las baterías de emergencia de litio reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,NO,634.4
Ajuste de tensión requerido en las líneas de los sensores de proximidad de bloqueo que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Mantenimiento,NO,NO,446.2
Documentación del proveedor incompleta para la turbina de alta presión identificado en la fase de control de calidad final antes de entrega.,Motor,Calidad,SI,NO,717.3
Desgaste asimétrico crítico en los inyectores de combustible debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,SI,SI,879.9
Deformación por carga térmica en el pasador de seguridad del tren detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Ingenieria,SI,NO,574.1
Estudio de resistencia requerido para las llantas del tren principal identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Ingenieria,SI,NO,630.9
Desviación estructural observada en el reverso de empuje observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Ingenieria,SI,SI,614.6
Pieza recibida con embalaje dañado afectando a las sondas Pitot de respaldo identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,NO,
Fallo catastrófico del material en las pastillas de freno del tren de morro identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,SI,NO,737.9
Espesor de recubrimiento fuera de rango en el reverso de empuje durante la inspección visual tras la llegada del vuelo.,Motor,Calidad,,NO,966.3
Desgaste severo por uso operativo en el computador del sistema de control de vuelo reportado por el operario del turno de noche en el hangar 3.,,Mantenimiento,NO,NO,1089.8
Fisura por fatiga detectada en el eje de transmisión principal reportado por el operario del turno de noche en el hangar 3.,Motor,Ingenieria,SI,SI,267.3
Falta certificado de conformidad en lote de el mazo de cables del sistema de navegación reportado por el operario del turno de noche en el hangar 3.,Electronica,Calidad,SI,NO,157.0
Documentación del proveedor incompleta para la turbina de alta presión identificado en la fase de control de calidad final antes de entrega.,Motor,Calidad,SI,NO,717.3
Espesor de recubrimiento fuera de rango en las pastillas de freno del tren de morro que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Calidad,NO,NO,1182.3
Espesor de recubrimiento fuera de rango en los soportes del pilón del motor durante la inspección visual tras la llegada del vuelo.,Estructura,Calidad,SI,SI,943.7
Ajuste de tensión requerido en las líneas de las antenas de comunicación VHF identificado en la fase de control de calidad final antes de entrega.,Electronica,Mantenimiento,NO,NO,33.4
Error de trazabilidad detectada en la cuaderna de sección de cola detectado durante las pruebas funcionales rutinarias de prevuelo.,Estructura,Calidad,NO,SI,654.6
Lote de consumibles caducado utilizado en los inyectores de combustible detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,SI,SI,
Sustitución preventiva de juntas y sellos de el reverso de empuje tras la notificación formal del operador de la aerolínea.,Motor,Mantenimiento,NO,NO,597.4
Deformación por carga térmica en las mangueras del líquido de frenos debido presumiblemente a condiciones ambientales extremas en operación.,Tren_Aterrizaje,Ingenieria,,SI,870.5
Holgura fuera de tolerancia en la unidad de potencia auxiliar (APU) control card tras la notificación formal del operador de la aerolínea.,Electronica,Ingenieria,,SI,1043.0
Daño por herramientas (FOD) causado por el operario en las baterías de emergencia de litio tras la notificación formal del operador de la aerolínea.,Electronica,Calidad,SI,SI,
No coinciden los números de serie en las tijeras de amortiguación identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Calidad,NO,SI,635.6
Falta certificado de conformidad en lote de el computador del sistema de control de vuelo identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,NO,98.9
No coinciden los números de serie en el cárter del ventilador observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Calidad,NO,SI,1078.0
Incumplimiento de la norma aeronáutica en los inyectores de combustible detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,NO,SI,335.8
Sustitución rutinaria por horas de vuelo de las mangueras del líquido de frenos identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Mantenimiento,NO,NO,22.8
Fallo catastrófico del material en el actuador hidráulico principal durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Ingenieria,NO,SI,94.6
Firma omitida en la orden de liberación de las mangueras del líquido de frenos debido presumiblemente a condiciones ambientales extremas en operación.,Tren_Aterrizaje,Calidad,SI,NO,889.0
Sustitución preventiva de juntas y sellos de la unidad de potencia auxiliar (APU) control card durante la inspección visual tras la llegada del vuelo.,Electronica,Mantenimiento,NO,NO,556.9
Auditoría interna detecta desviación en el proceso de los soportes del pilón del motor identificado en la fase de control de calidad final antes de entrega.,Estructura,Calidad,SI,NO,
Ajuste de tensión requerido en las líneas de el cárter del ventilador reportado por el operario del turno de noche en el hangar 3.,Motor,Mantenimiento,NO,NO,284.3
Ajuste de tensión requerido en las líneas de el muelle de extensión del amortiguador reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Mantenimiento,SI,NO,222.9
Firma omitida en la orden de liberación de el eje de transmisión principal detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Calidad,SI,SI,
Luz de aviso activada en cabina referente a las llantas del tren principal identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Mantenimiento,NO,NO,464.9
Espesor de recubrimiento fuera de rango en el estabilizador horizontal identificado en la fase de control de calidad final antes de entrega.,Estructura,Calidad,SI,SI,313.2
Deformación por carga térmica en las baterías de emergencia de litio identificado en la recepción de materiales de la cadena de suministro.,Electronica,Ingenieria,NO,NO,319.5
Desgaste severo por uso operativo en la caja de accesorios (AGB) observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Mantenimiento,NO,NO,180.4
Discrepancy en planos de diseño de el borde de ataque del ala izquierda detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Ingenieria,,SI,182.2
Ruido anómalo durante la prueba funcional de las baterías de emergencia de litio reportado por el operario del turno de noche en el hangar 3.,Electronica,Mantenimiento,NO,NO,
Acumulación de suciedad y residuos en el computador del sistema de control de vuelo detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Mantenimiento,NO,NO,653.8
Daño por herramientas (FOD) causado por el operario en los soportes del pilón del motor observado tras la limpieza por ultrasonidos en la línea de reparación.,Estructura,Calidad,SI,NO,341.1
Falta certificado de conformidad en lote de el computador del sistema de control de vuelo observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Calidad,SI,SI,903.1
Daño por herramientas (FOD) causado por el operario en las antenas de comunicación VHF debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Calidad,NO,SI,270.5
Ajuste de tensión requerido en las líneas de la unidad de potencia auxiliar (APU) control card que requiere parada inmediata según el manual general de mantenimiento.,,Mantenimiento,SI,NO,539.1
Auditoría interna detecta desviación en el proceso de los inyectores de combustible tras la notificación formal del operador de la aerolínea.,Motor,Calidad,SI,NO,672.5
Ajuste de tensión requerido en las líneas de las antenas de comunicación VHF reportado por el operario del turno de noche en el hangar 3.,Electronica,Mantenimiento,NO,NO,
Pérdida de presión neumática en los remaches del revestimiento superior durante la inspección visual tras la llegada del vuelo.,Estructura,Mantenimiento,NO,SI,30.1
Necesidad de rediseño en el soporte de el cableado del radar meteorológico identificado en la recepción de materiales de la cadena de suministro.,Electronica,Ingenieria,NO,SI,
Fisura metalúrgica localizada en el computador del sistema de control de vuelo tras la notificación formal del operador de la aerolínea.,Electronica,Ingenieria,NO,SI,962.2
Corrosión superficial leve detectada en la cámara de combustión identificado en la recepción de materiales de la cadena de suministro.,Motor,Mantenimiento,NO,NO,138.9
